cell_id,tough_label,material,tough_material,generated
599,A1699,Rocka,ROCKA,False
600,A17 0,Rocka,ROCKA,False
601,A17 1,Rocka,ROCKA,False
602,A17 2,Rocka,ROCKA,False
603,A17 3,Rocka,ROCKA,False
604,A17 4,Rocka,ROCKA,False
605,A17 5,Rocka,ROCKA,False
606,A17 6,Rocka,ROCKA,False
607,A17 7,Rocka,ROCKA,False
608,A17 8,Rocka,ROCKA,False
609,A17 9,Rocka,ROCKA,False
610,A1710,Rocka,ROCKA,False
611,A1711,Rocka,ROCKA,False
612,A1712,Rocka,ROCKA,False
613,A1713,Rocka,ROCKA,False
614,A1714,Rocka,ROCKA,False
615,A1715,Rocka,ROCKA,False
616,A1716,Rocka,ROCKA,False
617,A1717,Rocka,ROCKA,False
618,A1718,Rocka,ROCKA,False
619,A1719,Rocka,ROCKA,False
620,A1720,Rocka,ROCKA,False
621,A1721,Rocka,ROCKA,False
622,A1722,Rocka,ROCKA,False
623,A1723,Rocka,ROCKA,False
624,A1724,Rocka,ROCKA,False
625,A1725,Rocka,ROCKA,False
626,A1726,Rocka,ROCKA,False
627,A1727,Rocka,ROCKA,False
628,A1728,Rocka,ROCKA,False
629,A1729,Rocka,ROCKA,False
630,A1730,Rocka,ROCKA,False
631,A1731,Rocka,ROCKA,False
632,A1732,Rocka,ROCKA,False
633,A1733,Rocka,ROCKA,False
634,A1734,Rocka,ROCKA,False
635,A1735,Rocka,ROCKA,False
636,A1736,Rocka,ROCKA,False
637,A1737,Rocka,ROCKA,False
638,A1738,Rocka,ROCKA,False
639,A1739,Rocka,ROCKA,False
640,A1740,Rocka,ROCKA,False
641,A1741,Rocka,ROCKA,False
642,A1742,Rocka,ROCKA,False
643,A1743,Rocka,ROCKA,False
644,A1744,Rocka,ROCKA,False
645,A1745,Rocka,ROCKA,False
646,A1746,Rocka,ROCKA,False
647,A1747,Rocka,ROCKA,False
648,A1748,Rocka,ROCKA,False
649,A1749,Rocka,ROCKA,False
650,A1750,Rocka,ROCKA,False
651,A1751,Rocka,ROCKA,False
652,A1752,Rocka,ROCKA,False
653,A1753,Rocka,ROCKA,False
654,A1754,Rocka,ROCKA,False
655,A1755,Rocka,ROCKA,False
656,A1756,Rocka,ROCKA,False
657,A1757,Rocka,ROCKA,False
658,A1758,Rocka,ROCKA,False
659,A1759,Rocka,ROCKA,False
660,A1760,Rocka,ROCKA,False
661,A1761,Rocka,ROCKA,False
662,A1762,Rocka,ROCKA,False
663,A1763,Rocka,ROCKA,False
664,A1764,Rocka,ROCKA,False
665,A1765,Rocka,ROCKA,False
